timestamp	commit	subject	files_changed	insertions	deletions	staged_paths
2026-06-22T07:00:02.287Z	dd000a8	Checkpoint NOOR feature updates	710	19348	4352	
2026-06-24T08:17:06.441Z	41117b0	Add recommendation subscriptions and inline details	2	349	8	plugins/av-recommend/frontend/page.js plugins/av-recommend/frontend/style.css
2026-06-24T08:26:50.756Z	6ab498a	Refine recommendation detail panel layout	2	68	10	plugins/av-recommend/frontend/page.js plugins/av-recommend/frontend/style.css
2026-06-24T08:32:20.502Z	6a80f72	Fix recommendation plugin icon assets	3	14	7	plugins/av-recommend
2026-06-24T08:53:25.136Z	fc08fd6	Parse local media NFO in item details	2	156		backend/app/api/endpoints/media_library_item_detail.py backend/tests/test_media_library_api.py
2026-06-24T16:39:33.211Z	d6441c3	Add Emby media library webhook sync	4	222	5	backend/app/api/endpoints/media_library.py backend/app/api/endpoints/media_library_helpers.py frontend/src/views/Home.vue frontend/src/views/settings/SystemSettings.vue
2026-06-24T16:45:34.662Z	6547cf2	Clarify Emby webhook setup	1	19	3	frontend/src/views/settings/SystemSettings.vue
2026-06-24T16:54:55.960Z	f9ca871	Improve Emby webhook test logging	2	20	4	backend/app/api/endpoints/media_library.py frontend/src/views/settings/SystemSettings.vue
2026-06-24T16:59:23.157Z	a5cf7ba	Refine webhook guide and source IP	2	16	2	backend/app/api/endpoints/media_library.py frontend/src/views/settings/SystemSettings.vue
2026-06-24T18:41:30.474Z	3226a05	Support qBittorrent 5.2 control API	2	88	17	plugins/qbittorrent/backend.py plugins/qbittorrent/frontend/page.js
2026-06-24T18:45:51.887Z	fd44ab3	Support qBittorrent API key auth	3	25	4	plugins/qbittorrent/backend.py plugins/qbittorrent/frontend/page.js plugins/qbittorrent/plugin.json
2026-06-24T18:48:40.217Z	c0dc3b8	Keep qBittorrent password auth compatible	1	4	3	plugins/qbittorrent/backend.py
2026-06-24T19:28:58.150Z	d4c6188	Clarify Xunlei NAS auth failures	1	12	2	plugins/xunlei-remote/backend.py
2026-06-25T14:51:16.374Z	ab6d2b0	Guard Xunlei retries when quota is exhausted	2	13	1	plugins/xunlei-remote/backend.py plugins/xunlei-remote/frontend/page.js
